filename,classe,xmin,ymin,xmax,ymax,imagetteName
image_2019-06-14_15-46-54.jpg,corneille,709,305,722,317,image_2019-06-14_15-46-54_corneille_0.JPG
image_2019-06-14_15-46-54.jpg,ground,694,306,706,319,image_2019-06-14_15-46-54_ground_1.JPG
image_2019-06-14_15-46-54.jpg,corneille,762,313,774,324,image_2019-06-14_15-46-54_corneille_2.JPG
image_2019-06-14_15-46-54.jpg,ground,778,311,790,322,image_2019-06-14_15-46-54_ground_3.JPG
image_2019-06-14_15-47-11.jpg,corneille,755,293,774,308,image_2019-06-14_15-47-11_corneille_4.JPG
image_2019-06-14_15-47-11.jpg,corneille,858,287,875,304,image_2019-06-14_15-47-11_corneille_5.JPG
image_2019-06-14_15-47-11.jpg,ground,880,285,897,302,image_2019-06-14_15-47-11_ground_6.JPG
image_2019-06-14_15-47-11.jpg,ground,732,290,751,305,image_2019-06-14_15-47-11_ground_7.JPG
image_2019-06-14_15-47-28.jpg,corneille,828,283,841,293,image_2019-06-14_15-47-28_corneille_8.JPG
image_2019-06-14_15-47-28.jpg,ground,813,281,826,291,image_2019-06-14_15-47-28_ground_9.JPG
image_2019-06-14_15-47-28.jpg,corneille,853,279,867,290,image_2019-06-14_15-47-28_corneille_10.JPG
image_2019-06-14_15-47-28.jpg,ground,851,266,865,277,image_2019-06-14_15-47-28_ground_11.JPG
image_2019-06-14_15-47-28.jpg,corneille,868,289,875,300,image_2019-06-14_15-47-28_corneille_12.JPG
image_2019-06-14_15-47-28.jpg,ground,877,291,884,302,image_2019-06-14_15-47-28_ground_13.JPG
image_2019-06-14_16-17-47.jpg,corneille,617,274,624,281,image_2019-06-14_16-17-47_corneille_14.JPG
image_2019-06-14_16-17-47.jpg,ground,607,272,614,279,image_2019-06-14_16-17-47_ground_15.JPG
image_2019-06-14_16-43-23.jpg,faisan,1,411,25,446,image_2019-06-14_16-43-23_faisan_16.JPG
image_2019-06-14_16-43-23.jpg,ground,29,407,53,442,image_2019-06-14_16-43-23_ground_17.JPG
image_2019-06-14_16-43-40.jpg,faisan,2,412,28,444,image_2019-06-14_16-43-40_faisan_18.JPG
image_2019-06-14_16-43-40.jpg,ground,29,409,55,441,image_2019-06-14_16-43-40_ground_19.JPG
image_2019-06-14_16-43-57.jpg,faisan,3,413,25,443,image_2019-06-14_16-43-57_faisan_20.JPG
image_2019-06-14_16-43-57.jpg,ground,29,411,51,441,image_2019-06-14_16-43-57_ground_21.JPG
image_2019-06-14_16-44-13.jpg,faisan,40,407,72,439,image_2019-06-14_16-44-13_faisan_22.JPG
image_2019-06-14_16-44-13.jpg,ground,73,405,105,437,image_2019-06-14_16-44-13_ground_23.JPG
image_2019-06-14_16-44-30.jpg,faisan,11,401,26,419,image_2019-06-14_16-44-30_faisan_24.JPG
image_2019-06-14_16-44-30.jpg,ground,28,399,43,417,image_2019-06-14_16-44-30_ground_25.JPG
image_2019-06-14_16-44-47.jpg,faisan,28,384,44,413,image_2019-06-14_16-44-47_faisan_26.JPG
image_2019-06-14_16-44-47.jpg,ground,47,382,63,411,image_2019-06-14_16-44-47_ground_27.JPG
image_2019-06-14_16-45-03.jpg,faisan,27,386,42,411,image_2019-06-14_16-45-03_faisan_28.JPG
image_2019-06-14_16-45-03.jpg,ground,44,384,59,409,image_2019-06-14_16-45-03_ground_29.JPG
image_2019-06-14_16-45-20.jpg,faisan,25,385,44,414,image_2019-06-14_16-45-20_faisan_30.JPG
image_2019-06-14_16-45-20.jpg,ground,46,383,65,412,image_2019-06-14_16-45-20_ground_31.JPG
image_2019-06-14_16-45-37.jpg,faisan,26,384,43,409,image_2019-06-14_16-45-37_faisan_32.JPG
image_2019-06-14_16-45-37.jpg,ground,45,382,62,407,image_2019-06-14_16-45-37_ground_33.JPG
image_2019-06-14_16-45-53.jpg,faisan,28,386,41,411,image_2019-06-14_16-45-53_faisan_34.JPG
image_2019-06-14_16-45-53.jpg,ground,44,384,57,409,image_2019-06-14_16-45-53_ground_35.JPG
image_2019-06-14_16-45-53.jpg,faisan,243,378,256,409,image_2019-06-14_16-45-53_faisan_36.JPG
image_2019-06-14_16-45-53.jpg,ground,259,376,272,407,image_2019-06-14_16-45-53_ground_37.JPG
image_2019-06-14_16-46-10.jpg,faisan,26,385,44,411,image_2019-06-14_16-46-10_faisan_38.JPG
image_2019-06-14_16-46-10.jpg,ground,47,383,65,409,image_2019-06-14_16-46-10_ground_39.JPG
image_2019-06-14_16-46-10.jpg,faisan,236,392,244,398,image_2019-06-14_16-46-10_faisan_40.JPG
image_2019-06-14_16-46-10.jpg,ground,225,390,233,396,image_2019-06-14_16-46-10_ground_41.JPG
image_2019-06-14_16-46-27.jpg,faisan,28,385,43,411,image_2019-06-14_16-46-27_faisan_42.JPG
image_2019-06-14_16-46-27.jpg,ground,46,383,61,409,image_2019-06-14_16-46-27_ground_43.JPG
image_2019-06-14_16-46-27.jpg,faisan,303,376,313,398,image_2019-06-14_16-46-27_faisan_44.JPG
image_2019-06-14_16-46-27.jpg,ground,315,374,325,396,image_2019-06-14_16-46-27_ground_45.JPG
image_2019-06-14_16-46-44.jpg,faisan,28,386,42,410,image_2019-06-14_16-46-44_faisan_46.JPG
image_2019-06-14_16-46-44.jpg,ground,44,384,58,408,image_2019-06-14_16-46-44_ground_47.JPG
image_2019-06-14_16-46-44.jpg,faisan,563,442,614,479,image_2019-06-14_16-46-44_faisan_48.JPG
image_2019-06-14_16-46-44.jpg,ground,513,440,564,477,image_2019-06-14_16-46-44_ground_49.JPG
image_2019-06-14_16-47-00.jpg,faisan,27,386,45,410,image_2019-06-14_16-47-00_faisan_50.JPG
image_2019-06-14_16-47-00.jpg,ground,47,384,65,408,image_2019-06-14_16-47-00_ground_51.JPG
image_2019-06-14_16-47-00.jpg,faisan,192,395,204,412,image_2019-06-14_16-47-00_faisan_52.JPG
image_2019-06-14_16-47-00.jpg,ground,206,393,218,410,image_2019-06-14_16-47-00_ground_53.JPG
image_2019-06-14_16-47-17.jpg,faisan,55,400,74,422,image_2019-06-14_16-47-17_faisan_54.JPG
image_2019-06-14_16-47-17.jpg,ground,77,398,96,420,image_2019-06-14_16-47-17_ground_55.JPG
image_2019-06-14_16-47-17.jpg,faisan,680,396,707,427,image_2019-06-14_16-47-17_faisan_56.JPG
image_2019-06-14_16-47-17.jpg,ground,707,394,734,425,image_2019-06-14_16-47-17_ground_57.JPG
image_2019-06-14_16-47-34.jpg,corneille,824,231,833,240,image_2019-06-14_16-47-34_corneille_58.JPG
image_2019-06-14_16-47-34.jpg,ground,813,229,822,238,image_2019-06-14_16-47-34_ground_59.JPG
image_2019-06-14_16-47-34.jpg,faisan,145,395,180,418,image_2019-06-14_16-47-34_faisan_60.JPG
image_2019-06-14_16-47-34.jpg,ground,182,393,217,416,image_2019-06-14_16-47-34_ground_61.JPG
image_2019-06-14_16-47-50.jpg,faisan,273,390,311,416,image_2019-06-14_16-47-50_faisan_62.JPG
image_2019-06-14_16-47-50.jpg,ground,311,388,349,414,image_2019-06-14_16-47-50_ground_63.JPG
image_2019-06-14_16-48-07.jpg,faisan,403,376,429,406,image_2019-06-14_16-48-07_faisan_64.JPG
image_2019-06-14_16-48-07.jpg,ground,376,374,402,404,image_2019-06-14_16-48-07_ground_65.JPG
image_2019-06-14_16-48-07.jpg,faisan,466,417,485,443,image_2019-06-14_16-48-07_faisan_66.JPG
image_2019-06-14_16-48-07.jpg,ground,487,415,506,441,image_2019-06-14_16-48-07_ground_67.JPG
image_2019-06-14_16-48-07.jpg,corneille,759,249,768,257,image_2019-06-14_16-48-07_corneille_68.JPG
image_2019-06-14_16-48-07.jpg,ground,771,247,780,255,image_2019-06-14_16-48-07_ground_69.JPG
image_2019-06-14_16-48-24.jpg,faisan,550,355,574,381,image_2019-06-14_16-48-24_faisan_70.JPG
image_2019-06-14_16-48-24.jpg,ground,573,353,597,379,image_2019-06-14_16-48-24_ground_71.JPG
image_2019-06-14_16-48-24.jpg,corneille,752,251,760,259,image_2019-06-14_16-48-24_corneille_72.JPG
