labels,class,img_paths
incertain,oiseau,Rec_images_bigger/DSCF0029_incertain_0.JPG
ground,autre,Rec_images_bigger/DSCF0029_ground_1.JPG
corneille,corneille,Rec_images_bigger/DSCF0180_corneille_2.JPG
corneille,corneille,Rec_images_bigger/DSCF0180_corneille_3.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0258_pigeon_4.JPG
ground,autre,Rec_images_bigger/DSCF0258_ground_5.JPG
incertain,oiseau,Rec_images_bigger/DSCF0332_incertain_6.JPG
ground,autre,Rec_images_bigger/DSCF0332_ground_7.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0335_pigeon_8.JPG
ground,autre,Rec_images_bigger/DSCF0335_ground_9.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0341_pigeon_10.JPG
ground,autre,Rec_images_bigger/DSCF0341_ground_11.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0341_pigeon_12.JPG
ground,autre,Rec_images_bigger/DSCF0341_ground_13.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0341_pigeon_14.JPG
ground,autre,Rec_images_bigger/DSCF0341_ground_15.JPG
incertain,oiseau,Rec_images_bigger/DSCF0341_incertain_16.JPG
ground,autre,Rec_images_bigger/DSCF0341_ground_17.JPG
incertain,oiseau,Rec_images_bigger/DSCF0342_incertain_18.JPG
ground,autre,Rec_images_bigger/DSCF0342_ground_19.JPG
pie,pie,Rec_images_bigger/DSCF0342_pie_20.JPG
ground,autre,Rec_images_bigger/DSCF0342_ground_21.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0343_pigeon_22.JPG
ground,autre,Rec_images_bigger/DSCF0343_ground_23.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0343_pigeon_24.JPG
ground,autre,Rec_images_bigger/DSCF0343_ground_25.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0343_pigeon_26.JPG
ground,autre,Rec_images_bigger/DSCF0343_ground_27.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0343_pigeon_28.JPG
ground,autre,Rec_images_bigger/DSCF0343_ground_29.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0343_pigeon_30.JPG
ground,autre,Rec_images_bigger/DSCF0343_ground_31.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0343_pigeon_32.JPG
ground,autre,Rec_images_bigger/DSCF0343_ground_33.JPG
incertain,oiseau,Rec_images_bigger/DSCF0343_incertain_34.JPG
ground,autre,Rec_images_bigger/DSCF0343_ground_35.JPG
incertain,oiseau,Rec_images_bigger/DSCF0555_incertain_36.JPG
ground,autre,Rec_images_bigger/DSCF0555_ground_37.JPG
incertain,oiseau,Rec_images_bigger/DSCF0589_incertain_38.JPG
ground,autre,Rec_images_bigger/DSCF0589_ground_39.JPG
incertain,oiseau,Rec_images_bigger/DSCF0017_incertain_40.JPG
ground,autre,Rec_images_bigger/DSCF0017_ground_41.JPG
incertain,oiseau,Rec_images_bigger/DSCF0017_incertain_42.JPG
ground,autre,Rec_images_bigger/DSCF0017_ground_43.JPG
corneille,corneille,Rec_images_bigger/DSCF0201_corneille_44.JPG
ground,autre,Rec_images_bigger/DSCF0201_ground_45.JPG
corneille,corneille,Rec_images_bigger/DSCF0203_corneille_46.JPG
ground,autre,Rec_images_bigger/DSCF0203_ground_47.JPG
corneille,corneille,Rec_images_bigger/DSCF0203_corneille_48.JPG
ground,autre,Rec_images_bigger/DSCF0203_ground_49.JPG
incertain,oiseau,Rec_images_bigger/DSCF0223_incertain_50.JPG
ground,autre,Rec_images_bigger/DSCF0223_ground_51.JPG
incertain,oiseau,Rec_images_bigger/DSCF0233_incertain_52.JPG
ground,autre,Rec_images_bigger/DSCF0233_ground_53.JPG
incertain,oiseau,Rec_images_bigger/DSCF0233_incertain_54.JPG
ground,autre,Rec_images_bigger/DSCF0233_ground_55.JPG
incertain,oiseau,Rec_images_bigger/DSCF0330_incertain_56.JPG
ground,autre,Rec_images_bigger/DSCF0330_ground_57.JPG
corneille,corneille,Rec_images_bigger/DSCF0332_corneille_58.JPG
ground,autre,Rec_images_bigger/DSCF0332_ground_59.JPG
corneille,corneille,Rec_images_bigger/DSCF0342_corneille_60.JPG
ground,autre,Rec_images_bigger/DSCF0342_ground_61.JPG
incertain,oiseau,Rec_images_bigger/DSCF0364_incertain_62.JPG
ground,autre,Rec_images_bigger/DSCF0364_ground_63.JPG
corneille,corneille,Rec_images_bigger/DSCF0419_corneille_64.JPG
ground,autre,Rec_images_bigger/DSCF0419_ground_65.JPG
corneille,corneille,Rec_images_bigger/DSCF0419_corneille_66.JPG
ground,autre,Rec_images_bigger/DSCF0419_ground_67.JPG
incertain,oiseau,Rec_images_bigger/DSCF0427_incertain_68.JPG
ground,autre,Rec_images_bigger/DSCF0427_ground_69.JPG
corneille,corneille,Rec_images_bigger/DSCF0440_corneille_70.JPG
ground,autre,Rec_images_bigger/DSCF0440_ground_71.JPG
incertain,oiseau,Rec_images_bigger/DSCF0505_incertain_72.JPG
ground,autre,Rec_images_bigger/DSCF0505_ground_73.JPG
incertain,oiseau,Rec_images_bigger/DSCF0517_incertain_74.JPG
ground,autre,Rec_images_bigger/DSCF0517_ground_75.JPG
corneille,corneille,Rec_images_bigger/DSCF0528_corneille_76.JPG
ground,autre,Rec_images_bigger/DSCF0528_ground_77.JPG
corneille,corneille,Rec_images_bigger/DSCF0533_corneille_78.JPG
ground,autre,Rec_images_bigger/DSCF0533_ground_79.JPG
corneille,corneille,Rec_images_bigger/DSCF0556_corneille_80.JPG
ground,autre,Rec_images_bigger/DSCF0556_ground_81.JPG
incertain,oiseau,Rec_images_bigger/DSCF0579_incertain_82.JPG
ground,autre,Rec_images_bigger/DSCF0579_ground_83.JPG
corneille,corneille,Rec_images_bigger/DSCF0681_corneille_84.JPG
ground,autre,Rec_images_bigger/DSCF0681_ground_85.JPG
incertain,oiseau,Rec_images_bigger/DSCF0776_incertain_86.JPG
ground,autre,Rec_images_bigger/DSCF0776_ground_87.JPG
incertain,oiseau,Rec_images_bigger/DSCF0046_incertain_88.JPG
ground,autre,Rec_images_bigger/DSCF0046_ground_89.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0047_pigeon_90.JPG
ground,autre,Rec_images_bigger/DSCF0047_ground_91.JPG
incertain,oiseau,Rec_images_bigger/DSCF0103_incertain_92.JPG
ground,autre,Rec_images_bigger/DSCF0103_ground_93.JPG
incertain,oiseau,Rec_images_bigger/DSCF0103_incertain_94.JPG
ground,autre,Rec_images_bigger/DSCF0103_ground_95.JPG
chat,chat,Rec_images_bigger/DSCF0124_chat_96.JPG
ground,autre,Rec_images_bigger/DSCF0124_ground_97.JPG
Abeille,abeille,Rec_images_bigger/DSCF0166_Abeille_98.JPG
ground,autre,Rec_images_bigger/DSCF0166_ground_99.JPG
chevreuil,chevreuil,Rec_images_bigger/DSCF0202_chevreuil_100.JPG
ground,autre,Rec_images_bigger/DSCF0202_ground_101.JPG
chevreuil,chevreuil,Rec_images_bigger/DSCF0220_chevreuil_102.JPG
ground,autre,Rec_images_bigger/DSCF0220_ground_103.JPG
Corneille,corneille,Rec_images_bigger/DSCF0223_Corneille_104.JPG
ground,autre,Rec_images_bigger/DSCF0223_ground_105.JPG
Corneille,corneille,Rec_images_bigger/DSCF0223_Corneille_106.JPG
ground,autre,Rec_images_bigger/DSCF0223_ground_107.JPG
Corneille,corneille,Rec_images_bigger/DSCF0225_Corneille_108.JPG
ground,autre,Rec_images_bigger/DSCF0225_ground_109.JPG
incertain,oiseau,Rec_images_bigger/DSCF0227_incertain_110.JPG
ground,autre,Rec_images_bigger/DSCF0227_ground_111.JPG
pigeon,pigeon,Rec_images_bigger/DSCF0228_pigeon_112.JPG
ground,autre,Rec_images_bigger/DSCF0228_ground_113.JPG
incertain,oiseau,Rec_images_bigger/DSCF0229_incertain_114.JPG
ground,autre,Rec_images_bigger/DSCF0229_ground_115.JPG
