path,filename,width,height,classe,xmin,ymin,xmax,ymax,index,imagetteName
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0029.JPG,5200,3900,incertain,828,1592,875,1641,0,DSCF0029_incertain_0.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0029.JPG,5200,3900,ground,881,1587,928,1636,1,DSCF0029_ground_1.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0180.JPG,5200,3900,corneille,2842,2731,2876,2767,2,DSCF0180_corneille_2.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0180.JPG,5200,3900,corneille,2799,2731,2833,2767,3,DSCF0180_corneille_3.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0258.JPG,5200,3900,pigeon,3249,2638,3541,3286,4,DSCF0258_pigeon_4.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0258.JPG,5200,3900,ground,2740,2630,3032,3278,5,DSCF0258_ground_5.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0332.JPG,5200,3900,incertain,3351,3157,3421,3212,6,DSCF0332_incertain_6.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0332.JPG,5200,3900,ground,3277,3154,3347,3209,7,DSCF0332_ground_7.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0335.JPG,5200,3900,pigeon,2315,3463,2409,3532,8,DSCF0335_pigeon_8.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0335.JPG,5200,3900,ground,2413,3457,2507,3526,9,DSCF0335_ground_9.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,pigeon,3247,2947,3313,2978,10,DSCF0341_pigeon_10.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,ground,3174,2942,3240,2973,11,DSCF0341_ground_11.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,pigeon,2772,3040,2836,3075,12,DSCF0341_pigeon_12.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,ground,2847,3036,2911,3071,13,DSCF0341_ground_13.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,pigeon,2486,3067,2576,3111,14,DSCF0341_pigeon_14.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,ground,2584,3061,2674,3105,15,DSCF0341_ground_15.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,incertain,3234,2785,3254,2813,16,DSCF0341_incertain_16.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,ground,3211,2782,3231,2810,17,DSCF0341_ground_17.JPG
