movieId_ref,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,romance,sci-fi,thriller,war,western,directors,writers,actors,averageRating,numVotes
1,tt0114709,Toy Story,Toy Story,0,1995,81,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nm0005124,"nm0005124,nm0230032,nm0004056,nm0710020,nm0923736,nm0169505,nm0812513","['nm0000158', 'nm0000741', 'nm0725543', 'nm0001815']",8.3,778961.0
2,tt0113497,Jumanji,Jumanji,0,1995,104,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,nm0002653,"nm0378144,nm0852430,nm0833164,nm0885575","['nm0000245', 'nm0404993']",6.9,265409.0
3,tt0113228,Grumpier Old Men,Grumpier Old Men,0,1995,101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,nm0222043,nm0425756,"['nm0000527', 'nm0000493']",6.6,22263.0
4,tt0114885,Waiting to Exhale,Waiting to Exhale,0,1995,124,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,nm0001845,"nm0573334,nm0060103",,5.8,8621.0
5,tt0113041,Father of the Bride Part II,Father of the Bride Part II,0,1995,106,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,nm0796124,"nm0352443,nm0329304,nm0583600,nm0796124","['nm0000188', 'nm0001737']",6.0,31020.0
6,tt0113277,Heat,Heat,0,1995,170,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,nm0000520,nm0000520,"['nm0000199', 'nm0000134', 'nm0000174', 'nm0000685']",8.2,517857.0
7,tt0114319,Sabrina,Sabrina,0,1995,127,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,nm0001628,"nm0853138,nm0000697,nm0499626,nm0070660,nm0713128","['nm0000148', 'nm0001427']",6.3,33679.0
8,tt0112302,Tom and Huck,Tom and Huck,0,1995,97,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,nm0382072,"nm0878494,nm0814085,nm0521739","['nm0001795', 'nm0000605', 'nm0734236', 'nm0777760']",5.6,8910.0
9,tt0114576,Sudden Death,Sudden Death,0,1995,111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,nm0001382,"nm0049945,nm0704164","['nm0000241', 'nm0000959', 'nm0000855']",5.7,29600.0
10,tt0113189,GoldenEye,GoldenEye,0,1995,130,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nm0132709,"nm0001220,nm0289833,nm0128997,nm0270761","['nm0000112', 'nm0000293']",7.2,221233.0
11,tt0112346,The American President,The American President,0,1995,114,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,nm0001661,nm0815070,"['nm0000140', 'nm0000640', 'nm0000150']",6.8,47904.0
12,tt0112896,Dracula: Dead and Loving It,Dracula: Dead and Loving It,0,1995,88,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,nm0000316,"nm0000316,nm0209918,nm0352229,nm0831290","['nm0000558', 'nm0000316', 'nm0001493', 'nm0001836']",5.8,35373.0
13,tt0112453,Balto,Balto,0,1995,78,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nm0920425,"nm0748429,nm0504327,nm0169325,nm0776107","['nm0000102', 'nm0001364', 'nm0191906']",7.1,35998.0
14,tt0113987,Nixon,Nixon,0,1995,192,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,nm0000231,"nm0729151,nm0929349,nm0000231","['nm0000164', 'nm0000959', 'nm0000438']",7.1,26821.0
15,tt0112760,Cutthroat Island,Cutthroat Island,0,1995,124,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nm0001317,"nm0065847,nm0331079,nm0262595,nm0317279,nm0455207,nm0635565","['nm0000546', 'nm0001449', 'nm0001999']",5.6,23918.0
16,tt0112641,Casino,Casino,0,1995,178,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,nm0000217,"nm0683380,nm0000217","['nm0000134', 'nm0000582', 'nm0000249']",8.2,408805.0
17,tt0114388,Sense and Sensibility,Sense and Sensibility,0,1995,136,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,nm0000487,"nm0000807,nm0000668","['nm0281424', 'nm0929489']",7.7,91026.0
18,tt0113101,Four Rooms,Four Rooms,0,1995,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"nm0734319,nm0000233,nm0001675,nm0025978","nm0025978,nm0734319,nm0001675,nm0000233","['nm0000619', 'nm0000104']",6.8,89596.0
19,tt0112281,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,0,1995,90,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,nm0644203,"nm0077062,nm0644203","['nm0000120', 'nm0573862', 'nm0001003', 'nm0264330']",6.4,185742.0
20,tt0113845,Money Train,Money Train,0,1995,110,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,nm0747849,"nm0724514,nm0521739","['nm0000648', 'nm0000437', 'nm0086706']",5.6,36098.0
21,tt0113161,Get Shorty,Get Shorty,0,1995,105,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,nm0001756,"nm0001465,nm0291082","['nm0000432', 'nm0000362', 'nm0000237']",6.9,70487.0
22,tt0112722,Copycat,Copycat,0,1995,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,nm0000750,"nm0081189,nm0535189","['nm0000551', 'nm0001530']",6.6,49343.0
23,tt0112401,Assassins,Assassins,0,1995,132,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,nm0001149,"nm0905152,nm0905154,nm0001338","['nm0000230', 'nm0000104', 'nm0205863']",6.3,72057.0
24,tt0114168,Powder,Powder,0,1995,111,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,nm0759207,nm0759207,"['nm0001218', 'nm0000448', 'nm0000156']",6.6,26889.0
25,tt0113627,Leaving Las Vegas,Leaving Las Vegas,0,1995,111,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,nm0001214,"nm3840714,nm0001214","['nm0000115', 'nm0001696', 'nm0507659']",7.5,105879.0
26,tt0114057,Othello,Othello,0,1995,123,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,nm0662529,"nm0662529,nm0000636","['nm0000401', 'nm0000110', 'nm0662511']",6.9,8481.0
27,tt0114011,Now and Then,Now and Then,0,1995,100,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,nm0322128,nm0454783,,6.8,24014.0
28,tt0112682,The City of Lost Children,La cité des enfants perdus,0,1995,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"nm0000466,nm0001988","nm0012496,nm0000466,nm0001988,nm0491011","['nm0000579', 'nm0256399', 'nm0684500']",7.6,61221.0
29,tt0115012,Shanghai Triad,"Yao a yao, yao dao wai po qiao",0,1995,108,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,nm0955443,"nm0270819,nm0944481","['nm0508349', 'nm0944507', 'nm0508554']",7.2,4769.0
30,tt0112792,Dangerous Minds,Dangerous Minds,0,1995,99,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,nm0808807,"nm0425676,nm0060103","['nm0001169', 'nm0005524']",6.5,44133.0
31,tt0114746,Twelve Monkeys,Twelve Monkeys,0,1995,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,nm0000416,"nm0003408,nm0672459,nm0672466","['nm0000246', 'nm0000093', 'nm0577828']",8.0,535435.0
32,tt0114952,Wings of Courage,Wings of Courage,0,1995,50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,nm0000269,"nm0323708,nm0000269","['nm0001729', 'nm0001371', 'nm0000174']",6.5,571.0
33,tt0112431,Babe,Babe,0,1995,91,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,nm0003088,"nm0455404,nm0004306,nm0003088",['nm0000342'],6.8,107922.0
34,tt0112637,Carrington,Carrington,0,1995,121,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,nm0358960,"nm0358960,nm0392264","['nm0000596', 'nm0905357', 'nm0922335']",6.9,4807.0
35,tt0112818,Dead Man Walking,Dead Man Walking,0,1995,122,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,nm0000209,"nm0695878,nm0000209","['nm0000576', 'nm0698764', 'nm0000855']",7.5,82185.0
36,tt0112286,Across the Sea of Time,Across the Sea of Time,0,1995,51,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,nm0522844,nm0312442,"['nm0722135', 'nm0568159', 'nm0388818', 'nm0825692']",6.4,223.0
37,tt0113442,It Takes Two,It Takes Two,0,1995,101,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,nm0855035,nm0204456,['nm0000430'],5.8,18101.0
38,tt0112697,Clueless,Clueless,0,1995,97,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,nm0002132,nm0002132,['nm0748620'],6.8,153994.0
39,tt0112749,"Cry, the Beloved Country","Cry, the Beloved Country",0,1995,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,nm0740213,"nm0367838,nm0665704","['nm0001321', 'nm0000469', 'nm0475100', 'nm0001165']",6.9,1601.0
40,tt0114279,Richard III,Richard III,0,1995,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,nm0518644,"nm0518644,nm0000636,nm0005212","['nm0005212', 'nm0100815', 'nm0223266']",7.5,12761.0
41,tt0112819,Dead Presidents,Dead Presidents,0,1995,119,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"nm0400436,nm0400441","nm0400441,nm0400436,nm0114285,nm1088323","['nm0005478', 'nm0202966', 'nm0000676', 'nm0135585']",6.9,17781.0
42,tt0114272,Restoration,Restoration,0,1995,117,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,nm0001355,"nm0871857,nm0910361","['nm0000375', 'nm0000554', 'nm0000667']",6.7,8281.0
43,tt0113855,Mortal Kombat,Mortal Kombat,0,1995,101,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nm0027271,"nm0095460,nm0864880,nm0238256","['nm0000483', 'nm0795225', 'nm0000798', 'nm0846480']",5.8,92768.0
44,tt0114681,To Die For,To Die For,0,1995,106,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,nm0001814,"nm0562767,nm0377750","['nm0000369', 'nm0001618', 'nm0000729']",6.8,39746.0
45,tt0113347,How to Make an American Quilt,How to Make an American Quilt,0,1995,117,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,nm0602104,"nm0653307,nm0026862",,6.2,9882.0
46,tt0114369,Se7en,Se7en,0,1995,127,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,nm0000399,nm0001825,"['nm0000151', 'nm0000093', 'nm0000228', 'nm0001825']",8.6,1265633.0
47,tt0114148,Pocahontas,Pocahontas,0,1995,81,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"nm0300265,nm0325196","nm0082772,nm0335666,nm0493857,nm0443855,nm0335469,nm0957798,nm0560329,nm0326814,nm0436314,nm0322368,nm0316727,nm0606407,nm1190000,nm0548211,nm0118333,nm0152284,nm0142200,nm0278181,nm0424666,nm0389445,nm0699213,nm0710181,nm1786806,nm0563602,nm0234837,nm0460146,nm0300265","['nm0000154', 'nm0000288', 'nm0048589']",6.7,149460.0
48,tt0114916,When Night Is Falling,When Night Is Falling,0,1995,94,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,nm0005390,nm0005390,"['nm0001089', 'nm0288944']",6.6,6107.0
49,tt0114814,The Usual Suspects,The Usual Suspects,0,1995,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,nm0001741,nm0003160,"['nm0000228', 'nm0000321', 'nm0001590', 'nm0000286']",8.6,894277.0
50,tt0113819,Mighty Aphrodite,Mighty Aphrodite,0,1995,95,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,nm0000095,nm0000095,['nm0000095'],7.1,35509.0
51,tt0110299,Lamerica,Lamerica,0,1994,116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nm0002167,"nm0002167,nm0691794,nm0785258","['nm0516272', 'nm0686375', 'nm0587549', 'nm0224076']",7.6,1930.0
52,tt0113158,Georgia,Georgia,0,1995,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nm0343260,nm0877399,"['nm0505971', 'nm0001611']",6.5,2651.0
53,tt0113541,Kids of the Round Table,Kids of the Round Table,0,1995,89,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,nm0864016,"nm0792412,nm0864016","['nm0605601', 'nm0647570', 'nm0097148']",5.0,288.0
54,tt0113321,Home for the Holidays,Home for the Holidays,0,1995,103,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,nm0000149,"nm0705331,nm0725379","['nm0000375', 'nm0001164']",6.6,10672.0
55,tt0110877,The Postman (Il Postino),Il postino,0,1994,108,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"nm0705535,nm0873385","nm0805073,nm0769249,nm0769250,nm0667657,nm0705535,nm0873385","['nm0873385', 'nm0634159', 'nm0769237']",7.7,30289.0
56,tt0112714,The Confessional,Le confessionnal,0,1995,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,nm0503215,nm0503215,"['nm0089937', 'nm0333079', 'nm0589603']",7.5,1470.0
57,tt0113419,The Indian in the Cupboard,The Indian in the Cupboard,0,1995,96,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,nm0000568,"nm0052209,nm0558953","['nm0769136', 'nm0514342', 'nm0420955']",6.0,23712.0
58,tt0116260,Eye for an Eye,Eye for an Eye,0,1996,101,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,nm0772259,"nm0392788,nm0798646,nm0415425","['nm0000662', 'nm0000438']",6.2,11957.0
59,tt0113862,Mr. Holland's Opus,Mr. Holland's Opus,0,1995,143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nm0378893,nm0242059,"['nm0000377', 'nm0858988']",7.3,33242.0
